State,City,Header,Description,Link
Florida,Miami,Digiport DataCenter,Digiport200 SE 1st Street33131 Miami,/usa/florida/miami/digiport-datacenter/
Florida,Miami,Cogent Miami 2,"Cogent Communications, Inc.3701 NW 82nd Street33166 Doral",/usa/florida/miami/cogent-miami2/
Florida,Miami,Dedicated Server Store,Stealth - ISS Inc.1953 NW 22nd Street33142 Miami,/usa/florida/miami/stealth-iss-data-center/
Florida,Miami,Nettogo,Nettogo11560 SW 120 St33176 Miami,/usa/florida/miami/nettogo/
Florida,Miami,East1,Open Hosting36 NE 2nd Street33132 Miami,/usa/florida/miami/east1/
Florida,Miami,BurstNET - Miami DC1,BurstNET200 SE 1ST ST33131 Miami,/usa/florida/miami/burstnet-miami-dc1/
Florida,Miami,Virtual Servers Data Center,Virtual Servers Data Center1100 NW 163rd Drive33169 Miami,/usa/florida/miami/carrierhouse-data-center/
Florida,Miami,Miami Data Vault,Miami Data Vault100 NE 80th Terrace33138 Miami,/usa/florida/miami/miami-data-vault/
Florida,Miami,200 Technology Center,Unknown Company200 SE 1st Street33131 Miami,/usa/florida/miami/200-technology-center/
Florida,Miami,XO Miami,XO Communications16563 NW 15th Ave33169 Miami,/usa/florida/miami/xo-miami/
Florida,Miami,Volico,"Biznesshosting, Inc.200 SE 1st St33131 Miami",/usa/florida/miami/volico/
Florida,Orlando,HostDime Orlando,HostDime Global Corp440 West Kennedy Blvd32810 Orlando,/usa/florida/orlando/hostdime/
Florida,Orlando,CoreSite Orlando (OR1),CoreSite9701 S. John Young Parkway32819 Orlando,/usa/florida/orlando/coresite-or1/
Florida,Orlando,ndtHOST,ndtHOST8635 Holiday Springs Rd.32940 Melbourne,/usa/florida/orlando/ndthost/
Florida,Orlando,200 Avenue B NW,DSM Technology Consultants200 Avenue B NW33881 Winter Haven,/usa/florida/orlando/200-avenue-b-nw/
Florida,Orlando,Lumen Orlando,Lumen380 South Lakew Destiny Drive32810 Orlando,/usa/florida/orlando/level3-orlando/
Florida,Orlando,Signal Hill Telecom Center,"SH OTC, LLC440 W. Kennedy Blvd32810 Orlando",/usa/florida/orlando/signal-hill-telecom/
Florida,Orlando,Lumen Orlando 2,Lumen510 W. Columbia Street32805 Orlando,/usa/florida/orlando/level3-orlando2/
Florida,Orlando,Lumen Orlando 3,Lumen7003 Presidents Dr32809 Oak Ridge,/usa/florida/orlando/twtc-orlando/
Florida,Orlando,Corserva Orlando,Corserva8251 Presidents Drive32809 Orlando,/usa/florida/orlando/pcnet-orlando/
Florida,Orlando,Atlantic.Net,Atlantic.Net440 West Kennedy Blvd32810 Orlando,/usa/florida/orlando/atlantic-orlando/
Florida,Orlando,Smart City,"Smart City Holdings, LLC1101 N. Keller Road32810 Orlando",/usa/florida/orlando/smart-city/
Florida,Orlando,Colo Solutions Orlando,Colo Solutions100 West Lucerne Circle32801 Orlando,/usa/florida/orlando/colo-solutions-orlando/
Florida,Winter Haven,DSM Myfloridacloud.com Data Center,DSM Technology Consultants200 Avenue B NW33881 Winter Haven,/usa/florida/winter-haven/dsm-myfloridacloud/
Florida,Winter Haven,Inland Fiber & Data,"Inland Fiber & Data199 Ave B, NW33881 Winter Haven",/usa/florida/winter-haven/inland/
Florida,Boca Raton,Volico Fort Lauderdale,Volico Data Center500 Green Rd33064 Pompano,/usa/florida/boca-raton/volico-2/
Florida,Boca Raton,Equinix  MI3,Equinix4680 Conference Way South33431 Boca Raton,/usa/florida/boca-raton/equinix--mi3/
Florida,Boca Raton,365 Data Centers-Boca Raton-Ph. 3&4,"365 Data Centers3500 NW Boca Raton Blvd, Bldg 80033431 Boca Raton",/usa/florida/boca-raton/hostnet-phase-iii--iv/
Florida,Boca Raton,365 Data Centers-Boca Raton-Phase 2,"365 Data Centers3500 NW Boca Raton Blvd, Bldg 90033431 Boca Raton",/usa/florida/boca-raton/host-net/
Florida,Boca Raton,Cogent Boca Raton,"Cogent Communications, Inc.5050 Conference Way North33431 Boca Raton",/usa/florida/boca-raton/cogent-boca-raton/
Florida,Boca Raton,Real Effects Boca Raton,"Real Effects Internet Group3500 NW 2nd Ave, Bldg 90433431 Boca Raton",/usa/florida/boca-raton/real-effects-colo/
Florida,Boca Raton,Axios Hosting,Axios Hosting5000 T-Rex Ave.33431 Boca Raton,/usa/florida/boca-raton/axios-hosting/
Florida,Boca Raton,3500 NW,Unknown Company3500 NW 2nd Ave33431 Boca Raton,/usa/florida/boca-raton/3500-nw/
Florida,Fort Lauderdale,Flexential Fort Lauderdale Data Center,Flexential5301 NW 33rd Ave33309 Fort Lauderdale,/usa/florida/fort-lauderdale/flexential-fort-lauderdale/
Florida,Fort Lauderdale,365 Data Centers - Fort Lauderdale,365 Data Centers3250 W Commercial Blvd33309 Fort Lauderdale,/usa/florida/fort-lauderdale/hostnet-fort-lauderdale/
Florida,Fort Lauderdale,Volico Deerfield,Volico Data Center500 NW 48 Street33064 Pompano Beach,/usa/florida/fort-lauderdale/volico-deerfield/
Florida,Fort Lauderdale,Lumen Fort Lauderdale 1,Lumen200 NW 2nd Street33311 Fort Lauderdale,/usa/florida/fort-lauderdale/level3-fort-lauderdale1/
Florida,Fort Lauderdale,HostOKAY Web Hosting,"WebHostingValley7120 North Nob Hill Road, Pompano Beach33321 Tamarac",/usa/florida/fort-lauderdale/hostokay-web-hosting/
Florida,Fort Lauderdale,ARK Data Center,CIN- ARK Data Center600 SW 3rd Street33060 Pompano Beach,/usa/florida/fort-lauderdale/ark-data-center/
Florida,Fort Lauderdale,tw telecom Fort Lauderdale,tw telecom100 Ne 3rd Ave33301 Fort Lauderdale,/usa/florida/fort-lauderdale/twtc-fort-lauderdale/
Florida,West Palm Beach,Cloud South,Cloud South424 Hampton Road33405 West Palm Beach,/usa/florida/west-palm-beach/cloud-south/
Florida,West Palm Beach,Lumen West Palm Beach 1,"Lumen410 Hampton Road,33405 West Palm Beach",/usa/florida/west-palm-beach/level3-west-palm-beach1/
Florida,Gainesville,Gainesville Data Center,Acceleration2511 NW 41st Street32606 Gainesville,/usa/florida/gainesville/gainesville-data-center/
Florida,Jacksonville,Cologix JAX1,Cologix421 West Church Street32202 Jacksonville,/usa/florida/jacksonville/421-west-church-street/
Florida,Jacksonville,Cologix JAX2,Cologix4800 Spring Park Road32207 Jacksonville,/usa/florida/jacksonville/cologix-jax2/
Florida,Jacksonville,Flexential Jacksonville Data Center,Flexential4905 Belfort Road32256 Jacksonville,/usa/florida/jacksonville/flexential-jacksonville/
Florida,Jacksonville,TierPoint Jacksonville,TierPoint8324 Baymeadows Way32256 Jacksonville,/usa/florida/jacksonville/tierpoint-florida/
Florida,Jacksonville,EdgeConneX Jacksonville - EDCJAX01,"EdgeConneX6602 Executive Park Ct N, Unit #105.32216 Jacksonville",/usa/florida/jacksonville/edcjax01/
Florida,Jacksonville,SBA Edge JaxNAP,SBA Edge421 West Church Street32202 Jacksonville,/usa/florida/jacksonville/jax/
Florida,Jacksonville,GoRACK Data Center,GoRACK Data Center800 Water Street32204 Jacksonville,/usa/florida/jacksonville/gorack-data-center/
Florida,Jacksonville,Lumen Jacksonville 2,Lumen608 W. Adams Street32204 Jacksonville,/usa/florida/jacksonville/level3-jacksonville2/
Florida,Jacksonville,Lumen Jacksonville 1,Lumen4814 Phillips Highway32207 Jacksonville,/usa/florida/jacksonville/level3-jacksonbille1/
Florida,Jacksonville,Lumen Jacksonville,Lumen608 W. Adams Street32204 Jacksonville,/usa/florida/jacksonville/level3-jacksonville/
Florida,Jacksonville,CSX Data Center,ColoCSX6425 Southpoint Parkway32216 Jacksonville,/usa/florida/jacksonville/csx-data-center/
Florida,Jacksonville,Edge Data Center - Jacksonville,American Tower Corporation325 17th Avenue North32250 Jacksonville Beach,/usa/florida/jacksonville/jacksonville-edge/
Florida,Jacksonville,GoRACK 421,"GoRACK Data Center421 West Church Street, STE 11132202 Jacksonville",/usa/florida/jacksonville/gorack-421/
Florida,Jacksonville,Windstream Jacksonville,Windstream421 W. Church St.32202 Jacksonville,/usa/florida/jacksonville/windstream-jacksonville/
Florida,Jacksonville,tw telecom Jacksonville,tw telecom200 W Forsyth St32202 Jacksonville,/usa/florida/jacksonville/twtc-jacksonville/
Florida,Tallahassee,EdgeConneX Tallahassee-EDCTAL01,"EdgeConneX1531 Commonwealth Business Dr, Units 404-40832303 Tallahassee",/usa/florida/tallahassee/edgeconnex-edctal01/
Florida,Tallahassee,Lumen Tallahassee,Lumen619 Mabry Street32304 Tallahassee,/usa/florida/tallahassee/level3-tallahassee/
Florida,Tallahassee,Lumen Tallahassee 2,Lumen1416 S Adams Street32304 Tallahassee,/usa/florida/tallahassee/level3-tallahassee2/
Florida,Tallahassee,Pavlov Media FL,Pavlov Media215  W Carolina St32301 Tallahassee,/usa/florida/tallahassee/pavlov-media-fl/
Florida,Ocala,Nap2Networks,Nap2Networks9860 SW 84th Court34481 Ocala,/usa/florida/ocala/nap2networks/
