State,City,Operator,Header,Address,lat,lng,Link
Pennsylvania,Pittsburgh,"aspStation, Inc",aspStation,"4736 Penn Ave, Pittsburgh, CA 15224",40.4653098,-79.9466819,/usa/pennsylvania/pittsburgh/aspstation/
Pennsylvania,Pittsburgh,viLogics Data Centers,viLogics-Pittsburgh,"322 4th Ave, Pittsburgh, CA 15222",40.4406248,-79.9958864,/usa/pennsylvania/pittsburgh/vilogics-pittsburgh/
Pennsylvania,Pittsburgh,DataBank,DataBank - zColo - 2500 Allegheny Center Mall,"2500 Allegheny Center Mall, Pittsburgh, CA 15212",36.778261,-119.4179324,/usa/pennsylvania/pittsburgh/zcolo-allegheny-center-mall/
Pennsylvania,Pittsburgh,Sierra Data Centers,Sierra Data Center,"322 Fourth Ave, Pittsburgh, CA 15222",36.778261,-119.4179324,/usa/pennsylvania/pittsburgh/sierra-data-center/
Pennsylvania,Pittsburgh,TeraSwitch Networks Inc.,TeraSwitch Networks - DC1,"1016 North Lincoln Ave, Pittsburgh, CA 15233",36.778261,-119.4179324,/usa/pennsylvania/pittsburgh/teraswitch-networks---dc1/
Pennsylvania,Pittsburgh,Bare Metal Pittsburgh,Bare Metal PIttsburgh,"1030 Vinial Street, Pittsburgh, CA 15212",40.4582484,-79.9937272,/usa/pennsylvania/pittsburgh/bare-metal-pittsburgh/
Pennsylvania,Pittsburgh,American Tower Corporation,Edge Data Center - Pittsburg,"1000 Agnew Rd, Pittsburgh, CA 15227",38.0279762,-121.8846806,/usa/pennsylvania/pittsburgh/edge-dc-pittsburg/
Pennsylvania,Reading,"Directlink Technologies, Inc","Directlink Technologies, Corp","2561 Bernville Road, Reading, CA 19605",40.3806403,-75.9810869,/usa/pennsylvania/reading/directlink-technologies/
Pennsylvania,Philadelphia,Flexential,Flexential Phiadelphia - Collegeville Data Center,"1000 Black Rock Road, Collegeville, CA 19460",36.778261,-119.4179324,/usa/pennsylvania/philadelphia/flexential-philadelphia-collegeville/
Pennsylvania,Philadelphia,Flexential,Flexential Allentown Data Center,"744 Roble Rd, Allentown, CA 18109",40.6357426,-75.4575044,/usa/pennsylvania/philadelphia/flexential-allentown/
Pennsylvania,Philadelphia,Netrality,Netrality - 401 N Broad,"401 N Broad, Philadelphia, CA 19106",39.9596208,-75.1610205,/usa/pennsylvania/philadelphia/terminal-commerce-building/
Pennsylvania,Philadelphia,TierPoint,TierPoint Lehigh Valley,"3949 Schelden Circle, Bethlehem, CA 18017",40.6749288,-75.3781221,/usa/pennsylvania/philadelphia/tierpoint-lehigh-valley/
Pennsylvania,Philadelphia,365 Data Centers,365 Data Centers - Philadelphia (University City),"3701 Market St, Philadelphia, CA 19104",39.9568165,-75.1962141,/usa/pennsylvania/philadelphia/switchdata-philadelphia1/
Pennsylvania,Philadelphia,Colocation America,Colocation America PHILLYDC2,"1000 Adams Ave, Eagleville, CA 19403",40.1595501,-75.4082385,/usa/pennsylvania/philadelphia/colocation-america-600-s-federal/
Pennsylvania,Philadelphia,DataBank,DataBank PHL1 - Downtown Philadelphia,"401 N Broad St, Philadelphia, CA 19108",39.9596208,-75.1610205,/usa/pennsylvania/philadelphia/zcolo-401-n-broad/
Pennsylvania,Philadelphia,365 Data Centers,365 Data Centers - Philadelphia (Downtown),"1500 Spring Garden St, Philadelphia, CA 19130",39.9623509,-75.1637363,/usa/pennsylvania/philadelphia/365-data-centers-philadelphia/
Pennsylvania,Philadelphia,H5 Data Centers,H5 Data Centers Philadelphia,"5 Data Centers1500 Spring Garden St, Philadelphia, CA 19130",39.9634424,-75.1770314,/usa/pennsylvania/philadelphia/h5-philadelphia/
Pennsylvania,Philadelphia,ColoHouse,ColoHouse Philadelphia,"2401 Locust Street, Philadelphia, CA 19103",39.9503063,-75.1799827,/usa/pennsylvania/philadelphia/colohouse-philadelphia/
Pennsylvania,Philadelphia,Colocation America,Colocation America PHILLYDC1,"9999 Hamilton Blvd, Breinigsville, CA 18031",40.5437738,-75.6545315,/usa/pennsylvania/philadelphia/colocation-america-phillydc1/
Pennsylvania,Philadelphia,Colocation America,Colocation America PHILLYDC3,"3949 Schelden Cir, Bethlehem, CA 18017",40.6749288,-75.3781221,/usa/pennsylvania/philadelphia/colocation-america-phillydc3/
Pennsylvania,Philadelphia,Keystone NAPwithin ,Keystone NAP 1,"30 mile from Philadelphia - 60 mile from Manhatten, Fairless Hills, CA 19030",40.1795537,-74.8551644,/usa/pennsylvania/philadelphia/keystone-nap-1/
Pennsylvania,Philadelphia,Equinix,Equinix PH1,"401 North Broad Street, Philadelphia, CA 19123",39.9596208,-75.1610205,/usa/pennsylvania/philadelphia/switch-data-philadelphia2/
Pennsylvania,Philadelphia,CROWN CASTLE,CROWN CASTLE (PA1),"401 N. Broad Street, Philadelphia, CA 19108",39.9596208,-75.1610205,/usa/pennsylvania/philadelphia/crown-castle-philadelphia2/
Pennsylvania,Philadelphia,TrueNet,TrueNet,"24 Hagerty Blvd, West Chester, CA 19382",39.9606643,-75.6054882,/usa/pennsylvania/philadelphia/truenet/
Pennsylvania,Philadelphia,CROWN CASTLE,CROWN CASTLE (PA2),"1309 Noble Street, Philadelphia, CA 19123",39.9604352,-75.1604237,/usa/pennsylvania/philadelphia/crown-castle-philadelphia1/
Pennsylvania,Philadelphia,Lumen,Lumen Philadelphia 1,"401 N Broad Street, Philadelphia, CA 19123",39.9596208,-75.1610205,/usa/pennsylvania/philadelphia/level-3-philadelphia/
Pennsylvania,Philadelphia,Lumen,Lumen Philadelphia 2,"701 Market Street, Philadelphia, CA 19106",39.9512937,-75.1526227,/usa/pennsylvania/philadelphia/level3-philadelphia2/
